Przemyslaw Stpiczynski	 2D constraint language
Yves Lesp&eacute;rance	 2D constraint language
David Parker	 2D example views
Pieter S. Kritzinger	 2D example views
Konrad Zuse	 2D Gabor-like filter
Konstantin Likharev	 2D Gabor-like filter
Pepe Siy	 2D Gabor-like filter
Binhai Zhu	 2D Hilbert transforms
Luciano Pandolfi	 2D Hilbert transforms
Dan Smith	 2D image
Linda M. Ott	 2D image
Sergei Soloviev 0002	 2D image
Antonis Hadjiantonis	 2D image data
Marvin S. Seppanen	 2D image data
Sven Groppe	 2D image data
Donald P. Greenberg	 2D image matching
Devan Sohier	 2D image sequence
Rob Kling	 2D image sequence
Stephan Thesing	 2D image sequence
Virginie Wiels	 2D image sequence
S&uuml;leyman Cenk Sahinalp	 2-D image sequences
Mingxi Wu	 2D imagery
Victor B. Zordan	 2D imagery
Maria Luisa Sapino	 2D networks
Yaochu Jin	 2D networks
Brian V. Funt	 2D recognition
Eike Schallehn	 2D recognition
Klaus W. Wagner	 2D recognition
Sven Ove Hansson	 2D recognition
Jerry R. Hobbs	 2D shape estimation
Joel Wein	 2D shape estimation
Pieter-Tjerk de Boer	 2-D vector field
Tania Stathaki	 2-D vector field
Farid N. Najm	 2D views
Mark H. Hansen	 2D views
Michael J. Witbrock	 2D-3D image orientation
Mustafa Cenk Gursoy	 2D-3D image orientation
Jonas Mellin	 2-dimensional mesh
Richard D. Schlichting	 2-dimensional mesh
Nazli Ikizler	 2-dimensional torus interconnection networks
Nina Edelweiss	 2-dimensional torus interconnection networks
Rita Loogen	 2-dimensional torus interconnection networks
Mihai Oltean	 30 Hz
Peter M. D. Gray	 30 Hz
Yu Xia 0003	 30 Hz
Laurel D. Riek	 32 bit
Olga Papaemmanouil	 32 bit
Piotr Kosiuczenko	 32 bit
Alexander Markowetz	 3D
Marc Sebban	 3D
Pablo Rodriguez	 3D
Rui Prior	 3D
Thad Starner	 3D
Dan Stefanescu	 3D adaptive feedback tracking
Rama Chellappa	 3D adaptive feedback tracking
Gerald Q. Maguire Jr.	 3D affine transfer
Israel Cidon	 3D affine transfer
Torsten Eymann	 3D affine transfer
Hugo Hellebrand	 3D arrays
Peter Leinen	 3D arrays
Jessica Lin 0001	 3D blending
Nicholas Negroponte	 3D DSMC code
Pepe Siy	 3D DSMC code
Tomasz G. Smolinski	 3D DSMC code
Guido Vanden Berghe	 3D free-form surface registration
Venkatesh Akella	 3D free-form surface registration
Dominic Binks	 3D geometric class
Hausi A. M&uuml;ller	 3D geometric class
Oliver P. Waldhorst	 3D geometric class
Roland Schnaubelt	 3D geometric class
Stefan Siersdorfer	 3D geometric class
Till Tantau	 3D geometric class
Zhiqiang Cai	 3D geometric class
Paul Salama	 3D graphics
Jixin Ma	 3D graphics boards
Leon Moonen	 3D graphics boards
Paolo Tiberio	 3D graphics boards
Jerzy R. Nawrocki	 3D human body model acquisition
Joelle Pineau	 3D human body model acquisition
Jianzhong Li	 3D human motion
Joerg Evermann	 3D human motion
Andrea Fusiello	 3D human tracking.
Ming Zhao 0003	 3D human tracking.
Antonis M. Hadjiantonis	 3D image data
Marvin V. Zelkowitz	 3D image data
Sven Hartmann	 3D image data
Brian W. Kernighan	 3D image processing
Eileen Kraemer	 3D image processing
Klaus Waldschmidt	 3D image processing
Sven Overhage	 3D image processing
M. Ray Mercer	 3D imaging.
Robert Sedgewick	 3D imaging.
Yoshua Bengio	 3D imaging.
Dominic Giampaolo	 3D invariant descriptions
Hava T. Siegelmann	 3D invariant descriptions
Oliver Riordan	 3D invariant descriptions
Roland T. Chin	 3D invariant descriptions
Stefan Szeider	 3D invariant descriptions
Tim Berners-Lee	 3D invariant descriptions
Zhisheng Huang	 3D invariant descriptions
Farinaz Koushanfar	 3D invariants
Mark H. M. Winands	 3D invariants
Michael H. Goldwasser	 3D matched points
Robert Hirschfeld	 3D matched points
Michael Haller	 3D medical images
Robert I. Damper	 3D medical images
Bill Lin	 3D modeling
Daniel Bleichenbacher	 3D modeling
Patrick Lambrix	 3D modeling
John B. Carter	 3-D modeling
Katsumi Inoue	 3-D modeling
Leonard Kleinrock	 3-D modeling
S. Alexander Spoon	 3-D modeling
David Peleg	 3D modeling techniques
Pietro Cerone	 3D modeling techniques
Arunita Jaekel	 3D models
Leon J. Osterweil	 3D models
Lisa Covi	 3D models
Paolo Merialdo	 3D models
Stephen R. Aylward	 3-D models generation
Aidong Zhang	 3d motion and shape recovery from line correspondences
Faron Moller	 3d motion and shape recovery from line correspondences
Michael Erlinger	 3D motion estimation
Michael P. Fitz	 3D motion estimation
Milind R. Naphade	 3D motion estimation
Rami P. Grossberg	 3D multimedia applications
F&eacute;lix Garc&iacute;a Carballeira	 3D object projections
Jacobo Tor&aacute;n	 3D object projections
Brian Whitworth	 3D object recognition
Eileen Scanlon	 3D object recognition
Giulio Colavolpe	 3D object recognition
Joseph Y. Halpern	 3D object recognition
Klaus Wehrle	 3D object recognition
Michael Lang 0002	 3D object recognition
Sven Rahmann	 3D object recognition
Rami Qahwaji	 3D objects automatic reconstruction
Dan Suciu	 3D person tracking
Dietmar Saupe	 3D person tracking
Richard Eier	 3D person tracking
Wulfram Gerstner	 3D person tracking
Mary W. Hall	 3D point
Michael Schroeder	 3D point
Sujata Banerjee	 3D point
Gerald Quirchmayr	 3D points
Hayder Radha	 3D points
Israel Cohen	 3D points
Yvo Desmedt	 3D points
Alicia Troncoso Lora	 3D pose
Klaus Samelson	 3D pose
Ralf Klinkenberg	 3D pose
David B. Lomet	 3D pose estimation
Santi Caball&eacute;	 3D pose estimation
Warren Harrison	 3D pose estimation
Naoki Kobayashi	 3D real image sequence
Nazir Peroz	 3D real image sequence
Nicolai Vorobjov	 3D real image sequence
Dang Van Hung	 3D reconstruction
Duncan C. McFarlane	 3D reconstruction
