 2D constraint language	Przemyslaw Stpiczynski
 2D constraint language	Yves Lesp&eacute;rance
 2D example views	David Parker
 2D example views	Pieter S. Kritzinger
 2D Gabor-like filter	Konrad Zuse
 2D Gabor-like filter	Konstantin Likharev
 2D Gabor-like filter	Pepe Siy
 2D Hilbert transforms	Binhai Zhu
 2D Hilbert transforms	Luciano Pandolfi
 2D image	Dan Smith
 2D image	Linda M. Ott
 2D image	Sergei Soloviev 0002
 2D image data	Antonis Hadjiantonis
 2D image data	Marvin S. Seppanen
 2D image data	Sven Groppe
 2D image matching	Donald P. Greenberg
 2D image sequence	Devan Sohier
 2D image sequence	Rob Kling
 2D image sequence	Stephan Thesing
 2D image sequence	Virginie Wiels
 2-D image sequences	S&uuml;leyman Cenk Sahinalp
 2D imagery	Mingxi Wu
 2D imagery	Victor B. Zordan
 2D networks	Maria Luisa Sapino
 2D networks	Yaochu Jin
 2D recognition	Brian V. Funt
 2D recognition	Eike Schallehn
 2D recognition	Klaus W. Wagner
 2D recognition	Sven Ove Hansson
 2D shape estimation	Jerry R. Hobbs
 2D shape estimation	Joel Wein
 2-D vector field	Pieter-Tjerk de Boer
 2-D vector field	Tania Stathaki
 2D views	Farid N. Najm
 2D views	Mark H. Hansen
 2D-3D image orientation	Michael J. Witbrock
 2D-3D image orientation	Mustafa Cenk Gursoy
 2-dimensional mesh	Jonas Mellin
 2-dimensional mesh	Richard D. Schlichting
 2-dimensional torus interconnection networks	Nazli Ikizler
 2-dimensional torus interconnection networks	Nina Edelweiss
 2-dimensional torus interconnection networks	Rita Loogen
 30 Hz	Mihai Oltean
 30 Hz	Peter M. D. Gray
 30 Hz	Yu Xia 0003
 32 bit	Laurel D. Riek
 32 bit	Olga Papaemmanouil
 32 bit	Piotr Kosiuczenko
 3D	Alexander Markowetz
 3D	Marc Sebban
 3D	Pablo Rodriguez
 3D	Rui Prior
 3D	Thad Starner
 3D adaptive feedback tracking	Dan Stefanescu
 3D adaptive feedback tracking	Rama Chellappa
 3D affine transfer	Gerald Q. Maguire Jr.
 3D affine transfer	Israel Cidon
 3D affine transfer	Torsten Eymann
 3D arrays	Hugo Hellebrand
 3D arrays	Peter Leinen
 3D blending	Jessica Lin 0001
 3D DSMC code	Nicholas Negroponte
 3D DSMC code	Pepe Siy
 3D DSMC code	Tomasz G. Smolinski
 3D free-form surface registration	Guido Vanden Berghe
 3D free-form surface registration	Venkatesh Akella
 3D geometric class	Dominic Binks
